"","text","date","users","sentiment"
"1","RT @juansantiso: MANUELA CARMENA, SEMBRANDO JUSTICIA, CON GENEROSIDAD @ALPUGADES @OvidioCervera @AhoraMadrid @juancarlosmohr http://t.co/eN…","2015-04-22T12:44:27Z","319613118",1
"2","Manuela Carmena: ""Yo soy de izquierdas, sin ninguna duda"" http://t.co/hzJ5qy10s6 vía @ElHuffPost","2015-04-22T16:19:16Z","935780563",-1
"3","RT @ElHuffPost: Manuela Carmena, de @AhoraMadrid: ""Todo el mundo se extrañará de tener una alcaldesa como yo"" http://t.co/TPEgH9n8oa http:/…","2015-04-22T13:07:34Z","771780426",1
"4","Me estoy enamorando de Manuela Carmena.","2015-04-22T15:50:57Z","11328762",-1
"5","RT @AhoraMadrid: Entrevista a @manuelacarmena: «No es tan complicado acabar con la corrupción, lo que pasa es que hay que querer». http://t…","2015-04-22T14:56:39Z","802663370",-1
"6","RT @MiguelSicilia2: Si votas al @PSOE debes conocer todo lo que arrastra detrás. @sanchezcastejon @ElenaValenciano @PSOEMadridAyto  https:/…","2015-04-22T21:23:17Z","2725095515",1
"7","""@ApmuPM: #ComisiónSeguridad Pablo García-Rojo @PSOEMadridAyto ""el modelo de gestión política y de coordinación lo vemos que puede mejorarse","2015-04-22T13:05:48Z","700960849",1
"8","RT @ApmuPM: #ComisiónSeguridad Pablo García-Rojo @PSOEMadridAyto ""hay un malestar por la estructura de la gestión política en el área ""","2015-04-22T18:37:23Z","847294434",1
"9","#ComisiónSeguridad Pablo García-Rojo @PSOEMadridAyto ""es necesaria la reforma de la ley de coordinación policías locales que esta obsoleta","2015-04-22T13:06:08Z","700960849",1
"10","RT @MiguelSicilia2: Si votas al @PSOE debes conocer todo lo que arrastra detrás. @sanchezcastejon @ElenaValenciano @PSOEMadridAyto  https:/…","2015-04-22T21:12:48Z","243694739",1
"11","http://t.co/ePws8OwcKS @PSMmuniCentro @PSOEMadridAyto","2015-04-22T15:51:00Z","1549139622",1
"12","RT @lolaq20: Yo quiero para España el nivel cultural, de preparación, honestidad, dialogo y cercanía que representa Manuela Carmena. #Adios…","2015-04-22T20:11:52Z","1007004444",-1
"13","Manuela Carmena: ""Yo soy de izquierdas, sin ninguna duda"" http://t.co/QaVcnemCY9 vía @ElHuffPost @AhoraMadrid @manuelacarmena","2015-04-22T15:47:20Z","230424236",-1
"14","RT @DescElFuturo: Manuela Carmena gana las primarias de Ahora Madrid
http://t.co/5OgVwNCZi9","2015-04-22T14:47:58Z","166249926",1
"15","RT @AhoraMadrid: Entrevista a @manuelacarmena: «No es tan complicado acabar con la corrupción, lo que pasa es que hay que querer». http://t…","2015-04-22T14:51:02Z","2676053790",-1
"16","RT @AhoraMadrid: Con Manuela Carmena recuperaremos el prestigio perdido de las instituciones políticas madrileñas. http://t.co/EONV3SqxWd","2015-04-22T14:48:32Z","1241224177",1
"17","RT @AhoraMadrid: Entrevista a @manuelacarmena: «No es tan complicado acabar con la corrupción, lo que pasa es que hay que querer». http://t…","2015-04-22T15:28:04Z","3076857418",-1
"18","RT @nippnipsoe: “@ElHuffPost: Manuela Carmena, candidata de @AhoraMadrid: ""La desigualdad no es inevitable"" http://t.co/JpkPmBPi1S http://t…","2015-04-22T14:45:25Z","244613093",-1
"19","RT @AhoraMadrid: Entrevista a @manuelacarmena: «No es tan complicado acabar con la corrupción, lo que pasa es que hay que querer». http://t…","2015-04-22T17:37:50Z","382504912",-1
"20","RT @AhoraMadrid: Con Manuela Carmena recuperaremos el prestigio perdido de las instituciones políticas madrileñas. http://t.co/EONV3SqxWd","2015-04-22T12:37:39Z","252705320",1
"21","RT @ElHuffPost: Manuela Carmena, candidata de @AhoraMadrid: ""La desigualdad no es inevitable"" http://t.co/TPEgH9n8oa http://t.co/mbeyrNrSnC","2015-04-22T20:38:29Z","311881655",-1
"22","RT @ElHuffPost: Manuela Carmena, de @AhoraMadrid: ""Todo el mundo se extrañará de tener una alcaldesa como yo"" http://t.co/TPEgH9n8oa http:/…","2015-04-22T14:45:57Z","1253967446",1
"23","RT @Octubrista: La gente de IU que apoya a Manuela Carmena en lugar de a IU porque no se va a Podemos de una vez?","2015-04-22T16:31:21Z","3097475405",-1
"24","RT @AhoraMadrid: Entrevista a @manuelacarmena: «No es tan complicado acabar con la corrupción, lo que pasa es que hay que querer». http://t…","2015-04-22T15:48:07Z","2787630443",-1
"25","La tienda ‘hippy’ de Manuela Carmena http://t.co/hKm2upU3dh","2015-04-22T18:11:10Z","200772867",1
"26","Entrevista muy recomendable a @manuelacarmena, candidata a la alcaldía de Madrid http://t.co/aJCeB0t27f vía @ElHuffPost","2015-04-22T14:28:53Z","231781916",1
"27","Qué lujo de señora... Manuela Carmena: ""Yo soy de izquierdas, sin ninguna duda"" http://t.co/IipcDOrnJM vía @ElHuffPost","2015-04-22T15:20:12Z","997419044",-1
"28","turista en el pelo de manuela carmena.","2015-04-22T18:30:09Z","3069588340",1
"29","RT @ElHuffPost: Manuela Carmena, de @AhoraMadrid: ""Todo el mundo se extrañará de tener una alcaldesa como yo"" http://t.co/TPEgH9n8oa http:/…","2015-04-22T14:12:58Z","468508330",1
"30","Apoya también 'Ahora Madrid', la candidatura de Manuela Carmena apoyada por Podemos:
https://t.co/fNPBpzbW80
#MicrocreditosPodemos","2015-04-22T17:28:29Z","2828506842",1
"31","RT @TxemaMauleon1: Manuela Carmena: ""Yo soy d izquierdas, sin ninguna duda"" http://t.co/lj4oThDKQa vía @ElHuffPost q gusto da esta mujer si…","2015-04-22T14:10:39Z","203994311",-1
"32","Manuela Carmena: ""Yo soy de izquierdas, sin ninguna duda"" http://t.co/z5qWgS5oiS","2015-04-22T16:55:06Z","193657189",-1
"33","@RedWarrior_Rpbk @PirataRoja_RpBk Despues de escuchar a Manuela Carmena,recupero la fe en la politica.","2015-04-22T20:29:33Z","1712002262",1
"34","RT @RamonLuque1: ""Yo soy de izquierdas...sin ninguna duda"". @manuelacarmena 
http://t.co/dLyQnDmhZD","2015-04-22T14:57:14Z","464089504",-1
"35","RT @ElHuffPost: Manuela Carmena, de @AhoraMadrid: ""Todo el mundo se extrañará de tener una alcaldesa como yo"" http://t.co/TPEgH9n8oa http:/…","2015-04-22T13:23:05Z","2822552123",1
"36","Manuela Carmena, sobre la fotografía de Esperanza Aguirre: ""Esto no es serio"" http://t.co/9ldnB6Tupa","2015-04-22T18:19:58Z","593525370",-1
"37","RT @nacho991960: La proxima acaldesa de Madrid que escucha.Manuela Carmena: ""Yo soy de izquierdas, sin ninguna duda"" http://t.co/lhNBbZNefw…","2015-04-22T15:11:03Z","3007527567",1
"38","RT @BlaancaNiieves: MANUELA CARMENA
""La sociedad rechaza el modelo de capitalismo neoliberal que ha llegado a unos grados de crueldad inace…","2015-04-22T20:29:18Z","331118450",1
"39","RT @AhoraMadrid: Entrevista a @manuelacarmena: «No es tan complicado acabar con la corrupción, lo que pasa es que hay que querer». http://t…","2015-04-22T15:21:10Z","2500197822",-1
"40","@manuelacarmena cada tweet que leo de manuela carmena menos me gusta, esperaba más de una gran persona y magistrada.","2015-04-22T15:40:41Z","3157836039",1
"41","Entrevista a @manuelacarmena en el @ElHuffPost: http://t.co/0EJAoXI9yZ","2015-04-22T13:44:58Z","3086249363",1
"42","Ada Colau y Manuela Carmena celebrarán un acto electoral conjunto en Madrid http://t.co/atZAejJCAE","2015-04-22T19:32:01Z","192661690",1
"43","RT @AhoraMadrid: Con Manuela Carmena recuperaremos el prestigio perdido de las instituciones políticas madrileñas. http://t.co/EONV3SqxWd","2015-04-22T19:36:36Z","2569446539",1
"44","RT @Octubrista: La gente de IU que apoya a Manuela Carmena en lugar de a IU porque no se va a Podemos de una vez?","2015-04-22T15:13:36Z","855358854",-1
"45","RT @BlaancaNiieves: MANUELA CARMENA
""La sociedad rechaza el modelo de capitalismo neoliberal que ha llegado a unos grados de crueldad inace…","2015-04-22T20:25:30Z","254668188",1
"46","RT @antesdedesembar: Manuela Carmena: “La empatía es un elemento imprescindible para la gestión pública” http://t.co/1zpzzuD1gJ","2015-04-22T15:34:57Z","343005355",1
"47","Manuela Carmena: ""Yo soy de izquierdas, sin ninguna duda"" http://t.co/9f1lxyue3j vía @ElHuffPost","2015-04-22T15:22:11Z","2500197822",-1
"48","RT @nacho991960: La proxima acaldesa de Madrid que escucha.Manuela Carmena: ""Yo soy de izquierdas, sin ninguna duda"" http://t.co/lhNBbZNefw…","2015-04-22T15:27:48Z","3076857418",1
"49","RT @PodemosLaCebada: Recuerda, nuestra candidata a la alcaldía es Manuela Carmena y @AhoraMadrid el proyecto en el que participamos. http:/…","2015-04-22T16:11:05Z","2468221401",1
